,REGIONID,INTERVAL_DATETIME,OPERATIONAL_DEMAND_POE10,OPERATIONAL_DEMAND_POE50,OPERATIONAL_DEMAND_POE90
1,NSW1,2021-03-12 00:00:00,7499.0,7383,7267.0
387,QLD1,2021-03-12 00:00:00,6270.0,6172,6074.0
773,SA1,2021-03-12 00:00:00,1515.0,1447,1380.0
1159,TAS1,2021-03-12 00:00:00,992.0,974,958.0
1545,VIC1,2021-03-12 00:00:00,4901.0,4787,4672.0
0,NSW1,2021-03-12 00:30:00,7316.0,7215,7115.0
432,QLD1,2021-03-12 00:30:00,6068.0,5980,5893.0
864,SA1,2021-03-12 00:30:00,1482.0,1422,1363.0
1296,TAS1,2021-03-12 00:30:00,965.0,950,936.0
1728,VIC1,2021-03-12 00:30:00,4740.0,4621,4501.0
0,NSW1,2021-03-12 01:00:00,7129.0,7030,6932.0
431,QLD1,2021-03-12 01:00:00,5952.0,5867,5781.0
862,SA1,2021-03-12 01:00:00,1443.0,1385,1327.0
1293,TAS1,2021-03-12 01:00:00,988.0,974,960.0
1724,VIC1,2021-03-12 01:00:00,4584.0,4469,4353.0
0,NSW1,2021-03-12 01:30:00,6858.0,6764,6670.0
430,QLD1,2021-03-12 01:30:00,5839.0,5755,5670.0
860,SA1,2021-03-12 01:30:00,1357.0,1303,1249.0
1290,TAS1,2021-03-12 01:30:00,985.0,972,957.0
1720,VIC1,2021-03-12 01:30:00,4493.0,4379,4266.0
0,NSW1,2021-03-12 02:00:00,6586.0,6495,6405.0
429,QLD1,2021-03-12 02:00:00,5790.0,5707,5623.0
858,SA1,2021-03-12 02:00:00,1304.0,1252,1200.0
1287,TAS1,2021-03-12 02:00:00,962.0,947,934.0
1716,VIC1,2021-03-12 02:00:00,4397.0,4287,4176.0
0,NSW1,2021-03-12 02:30:00,6448.0,6359,6271.0
428,QLD1,2021-03-12 02:30:00,5780.0,5697,5614.0
856,SA1,2021-03-12 02:30:00,1259.0,1209,1158.0
1284,TAS1,2021-03-12 02:30:00,953.0,939,926.0
1712,VIC1,2021-03-12 02:30:00,4270.0,4162,4055.0
0,NSW1,2021-03-12 03:00:00,6388.0,6300,6212.0
427,QLD1,2021-03-12 03:00:00,5725.0,5642,5559.0
854,SA1,2021-03-12 03:00:00,1248.0,1198,1148.0
1281,TAS1,2021-03-12 03:00:00,949.0,936,922.0
1708,VIC1,2021-03-12 03:00:00,4250.0,4143,4036.0
0,NSW1,2021-03-12 03:30:00,6411.0,6322,6234.0
426,QLD1,2021-03-12 03:30:00,5750.0,5667,5584.0
852,SA1,2021-03-12 03:30:00,1225.0,1176,1127.0
1278,TAS1,2021-03-12 03:30:00,945.0,932,917.0
1704,VIC1,2021-03-12 03:30:00,4224.0,4117,4011.0
0,NSW1,2021-03-12 04:00:00,6493.0,6404,6314.0
425,QLD1,2021-03-12 04:00:00,5763.0,5679,5597.0
850,SA1,2021-03-12 04:00:00,1208.0,1159,1111.0
1275,TAS1,2021-03-12 04:00:00,956.0,941,928.0
1700,VIC1,2021-03-12 04:00:00,4235.0,4128,4021.0
0,NSW1,2021-03-12 04:30:00,6695.0,6602,6510.0
424,QLD1,2021-03-12 04:30:00,5791.0,5707,5624.0
848,SA1,2021-03-12 04:30:00,1209.0,1161,1112.0
1272,TAS1,2021-03-12 04:30:00,965.0,952,937.0
1696,VIC1,2021-03-12 04:30:00,4365.0,4255,4145.0
0,NSW1,2021-03-12 05:00:00,6967.0,6871,6775.0
423,QLD1,2021-03-12 05:00:00,5865.0,5779,5695.0
846,SA1,2021-03-12 05:00:00,1231.0,1182,1133.0
1269,TAS1,2021-03-12 05:00:00,985.0,970,954.0
1692,VIC1,2021-03-12 05:00:00,4548.0,4434,4319.0
0,NSW1,2021-03-12 05:30:00,7385.0,7283,7182.0
422,QLD1,2021-03-12 05:30:00,6005.0,5918,5832.0
844,SA1,2021-03-12 05:30:00,1262.0,1212,1161.0
1266,TAS1,2021-03-12 05:30:00,1035.0,1019,1002.0
1688,VIC1,2021-03-12 05:30:00,4821.0,4699,4578.0
0,NSW1,2021-03-12 06:00:00,7767.0,7660,7553.0
421,QLD1,2021-03-12 06:00:00,6160.0,6072,5982.0
842,SA1,2021-03-12 06:00:00,1333.0,1279,1226.0
1263,TAS1,2021-03-12 06:00:00,1083.0,1065,1046.0
1684,VIC1,2021-03-12 06:00:00,5120.0,5002,4884.0
0,NSW1,2021-03-12 06:30:00,8118.0,8006,7894.0
420,QLD1,2021-03-12 06:30:00,6423.0,6329,6236.0
840,SA1,2021-03-12 06:30:00,1424.0,1367,1310.0
1260,TAS1,2021-03-12 06:30:00,1153.0,1132,1110.0
1680,VIC1,2021-03-12 06:30:00,5515.0,5388,5260.0
0,NSW1,2021-03-12 07:00:00,8397.0,8282,8166.0
419,QLD1,2021-03-12 07:00:00,6567.0,6473,6378.0
838,SA1,2021-03-12 07:00:00,1511.0,1450,1390.0
1257,TAS1,2021-03-12 07:00:00,1179.0,1156,1134.0
1676,VIC1,2021-03-12 07:00:00,5644.0,5514,5383.0
0,NSW1,2021-03-12 07:30:00,8487.0,8370,8253.0
418,QLD1,2021-03-12 07:30:00,6746.0,6650,6552.0
836,SA1,2021-03-12 07:30:00,1547.0,1485,1423.0
1254,TAS1,2021-03-12 07:30:00,1171.0,1149,1127.0
1672,VIC1,2021-03-12 07:30:00,5633.0,5503,5373.0
0,NSW1,2021-03-12 08:00:00,8490.0,8373,8256.0
417,QLD1,2021-03-12 08:00:00,6684.0,6589,6492.0
834,SA1,2021-03-12 08:00:00,1470.0,1411,1352.0
1251,TAS1,2021-03-12 08:00:00,1151.0,1130,1110.0
1668,VIC1,2021-03-12 08:00:00,5535.0,5407,5279.0
0,NSW1,2021-03-12 08:30:00,8488.0,8371,8254.0
416,QLD1,2021-03-12 08:30:00,6540.0,6445,6351.0
832,SA1,2021-03-12 08:30:00,1335.0,1281,1228.0
1248,TAS1,2021-03-12 08:30:00,1127.0,1107,1088.0
1664,VIC1,2021-03-12 08:30:00,5308.0,5185,5062.0
0,NSW1,2021-03-12 09:00:00,8481.0,8365,8248.0
415,QLD1,2021-03-12 09:00:00,6513.0,6420,6325.0
830,SA1,2021-03-12 09:00:00,1201.0,1153,1105.0
1245,TAS1,2021-03-12 09:00:00,1107.0,1089,1069.0
1660,VIC1,2021-03-12 09:00:00,5206.0,5086,4966.0
0,NSW1,2021-03-12 09:30:00,8395.0,8280,8164.0
414,QLD1,2021-03-12 09:30:00,6369.0,6277,6186.0
828,SA1,2021-03-12 09:30:00,1080.0,1036,993.0
1242,TAS1,2021-03-12 09:30:00,1078.0,1060,1043.0
1656,VIC1,2021-03-12 09:30:00,5054.0,4920,4786.0
0,NSW1,2021-03-12 10:00:00,8417.0,8301,8186.0
413,QLD1,2021-03-12 10:00:00,6374.0,6281,6190.0
826,SA1,2021-03-12 10:00:00,1000.0,960,920.0
1239,TAS1,2021-03-12 10:00:00,1026.0,1009,992.0
1652,VIC1,2021-03-12 10:00:00,4912.0,4799,4685.0
0,NSW1,2021-03-12 10:30:00,8250.0,8136,8023.0
412,QLD1,2021-03-12 10:30:00,6438.0,6346,6253.0
824,SA1,2021-03-12 10:30:00,899.0,863,827.0
1236,TAS1,2021-03-12 10:30:00,1012.0,995,979.0
1648,VIC1,2021-03-12 10:30:00,4813.0,4701,4590.0
0,NSW1,2021-03-12 11:00:00,8313.0,8199,8084.0
411,QLD1,2021-03-12 11:00:00,6582.0,6487,6393.0
822,SA1,2021-03-12 11:00:00,871.0,836,800.0
1233,TAS1,2021-03-12 11:00:00,1009.0,993,976.0
1644,VIC1,2021-03-12 11:00:00,4777.0,4667,4556.0
0,NSW1,2021-03-12 11:30:00,8164.0,8052,7939.0
410,QLD1,2021-03-12 11:30:00,6583.0,6488,6393.0
820,SA1,2021-03-12 11:30:00,814.0,781,748.0
1230,TAS1,2021-03-12 11:30:00,997.0,981,965.0
1640,VIC1,2021-03-12 11:30:00,4811.0,4700,4589.0
0,NSW1,2021-03-12 12:00:00,8138.0,8026,7914.0
409,QLD1,2021-03-12 12:00:00,6782.0,6684,6586.0
818,SA1,2021-03-12 12:00:00,865.0,830,795.0
1227,TAS1,2021-03-12 12:00:00,1013.0,998,982.0
1636,VIC1,2021-03-12 12:00:00,4994.0,4879,4764.0
0,NSW1,2021-03-12 12:30:00,8062.0,7951,7840.0
408,QLD1,2021-03-12 12:30:00,6709.0,6613,6517.0
816,SA1,2021-03-12 12:30:00,861.0,827,792.0
1224,TAS1,2021-03-12 12:30:00,1029.0,1012,997.0
1632,VIC1,2021-03-12 12:30:00,5040.0,4924,4808.0
0,NSW1,2021-03-12 13:00:00,8161.0,8049,7936.0
407,QLD1,2021-03-12 13:00:00,6802.0,6703,6606.0
814,SA1,2021-03-12 13:00:00,826.0,793,760.0
1221,TAS1,2021-03-12 13:00:00,1017.0,1001,986.0
1628,VIC1,2021-03-12 13:00:00,5103.0,4985,4867.0
0,NSW1,2021-03-12 13:30:00,8141.0,8029,7917.0
406,QLD1,2021-03-12 13:30:00,6714.0,6618,6522.0
812,SA1,2021-03-12 13:30:00,821.0,788,755.0
1218,TAS1,2021-03-12 13:30:00,1027.0,1011,995.0
1624,VIC1,2021-03-12 13:30:00,5163.0,5044,4925.0
0,NSW1,2021-03-12 14:00:00,8311.0,8196,8082.0
405,QLD1,2021-03-12 14:00:00,6854.0,6755,6656.0
810,SA1,2021-03-12 14:00:00,886.0,850,815.0
1215,TAS1,2021-03-12 14:00:00,1037.0,1021,1006.0
1620,VIC1,2021-03-12 14:00:00,5262.0,5141,5019.0
0,NSW1,2021-03-12 14:30:00,8415.0,8299,8183.0
404,QLD1,2021-03-12 14:30:00,7031.0,6929,6828.0
808,SA1,2021-03-12 14:30:00,968.0,930,891.0
1212,TAS1,2021-03-12 14:30:00,1065.0,1048,1032.0
1616,VIC1,2021-03-12 14:30:00,5403.0,5267,5131.0
0,NSW1,2021-03-12 15:00:00,8629.0,8511,8392.0
403,QLD1,2021-03-12 15:00:00,7166.0,7062,6960.0
806,SA1,2021-03-12 15:00:00,1039.0,997,955.0
1209,TAS1,2021-03-12 15:00:00,1083.0,1066,1049.0
1612,VIC1,2021-03-12 15:00:00,5581.0,5441,5300.0
0,NSW1,2021-03-12 15:30:00,8781.0,8642,8504.0
402,QLD1,2021-03-12 15:30:00,7144.0,7040,6938.0
804,SA1,2021-03-12 15:30:00,1111.0,1066,1022.0
1206,TAS1,2021-03-12 15:30:00,1117.0,1101,1083.0
1608,VIC1,2021-03-12 15:30:00,5762.0,5616,5471.0
0,NSW1,2021-03-12 16:00:00,8739.0,8584,8428.0
401,QLD1,2021-03-12 16:00:00,7200.0,7097,6993.0
802,SA1,2021-03-12 16:00:00,1249.0,1199,1149.0
1203,TAS1,2021-03-12 16:00:00,1150.0,1131,1113.0
1604,VIC1,2021-03-12 16:00:00,5950.0,5800,5650.0
0,NSW1,2021-03-12 16:30:00,8841.0,8683,8526.0
400,QLD1,2021-03-12 16:30:00,7314.0,7209,7103.0
800,SA1,2021-03-12 16:30:00,1367.0,1312,1257.0
1200,TAS1,2021-03-12 16:30:00,1164.0,1145,1125.0
1600,VIC1,2021-03-12 16:30:00,6072.0,5919,5766.0
0,NSW1,2021-03-12 17:00:00,8935.0,8775,8616.0
399,QLD1,2021-03-12 17:00:00,7663.0,7553,7443.0
798,SA1,2021-03-12 17:00:00,1522.0,1461,1400.0
1197,TAS1,2021-03-12 17:00:00,1177.0,1156,1137.0
1596,VIC1,2021-03-12 17:00:00,6215.0,6058,5902.0
0,NSW1,2021-03-12 17:30:00,8892.0,8734,8575.0
398,QLD1,2021-03-12 17:30:00,7841.0,7729,7616.0
796,SA1,2021-03-12 17:30:00,1575.0,1512,1449.0
1194,TAS1,2021-03-12 17:30:00,1207.0,1187,1167.0
1592,VIC1,2021-03-12 17:30:00,6437.0,6275,6113.0
0,NSW1,2021-03-12 18:00:00,8844.0,8723,8601.0
397,QLD1,2021-03-12 18:00:00,7928.0,7813,7699.0
794,SA1,2021-03-12 18:00:00,1712.0,1643,1575.0
1191,TAS1,2021-03-12 18:00:00,1208.0,1187,1168.0
1588,VIC1,2021-03-12 18:00:00,6334.0,6174,6015.0
0,NSW1,2021-03-12 18:30:00,8936.0,8813,8690.0
396,QLD1,2021-03-12 18:30:00,7907.0,7794,7680.0
792,SA1,2021-03-12 18:30:00,1764.0,1694,1623.0
1188,TAS1,2021-03-12 18:30:00,1207.0,1187,1166.0
1584,VIC1,2021-03-12 18:30:00,6424.0,6262,6100.0
0,NSW1,2021-03-12 19:00:00,8815.0,8694,8572.0
395,QLD1,2021-03-12 19:00:00,8053.0,7936,7820.0
790,SA1,2021-03-12 19:00:00,1824.0,1751,1678.0
1185,TAS1,2021-03-12 19:00:00,1175.0,1155,1135.0
1580,VIC1,2021-03-12 19:00:00,6302.0,6143,5984.0
0,NSW1,2021-03-12 19:30:00,8763.0,8643,8522.0
394,QLD1,2021-03-12 19:30:00,7932.0,7817,7703.0
788,SA1,2021-03-12 19:30:00,1874.0,1799,1724.0
1182,TAS1,2021-03-12 19:30:00,1191.0,1172,1152.0
1576,VIC1,2021-03-12 19:30:00,6218.0,6061,5905.0
0,NSW1,2021-03-12 20:00:00,8604.0,8485,8367.0
393,QLD1,2021-03-12 20:00:00,7796.0,7684,7571.0
786,SA1,2021-03-12 20:00:00,1797.0,1725,1653.0
1179,TAS1,2021-03-12 20:00:00,1177.0,1158,1138.0
1572,VIC1,2021-03-12 20:00:00,6140.0,5985,5831.0
0,NSW1,2021-03-12 20:30:00,8374.0,8258,8143.0
392,QLD1,2021-03-12 20:30:00,7667.0,7557,7446.0
784,SA1,2021-03-12 20:30:00,1719.0,1650,1582.0
1176,TAS1,2021-03-12 20:30:00,1157.0,1138,1120.0
1568,VIC1,2021-03-12 20:30:00,5827.0,5680,5533.0
0,NSW1,2021-03-12 21:00:00,8174.0,8061,7949.0
391,QLD1,2021-03-12 21:00:00,7497.0,7389,7280.0
782,SA1,2021-03-12 21:00:00,1659.0,1592,1526.0
1173,TAS1,2021-03-12 21:00:00,1146.0,1128,1110.0
1564,VIC1,2021-03-12 21:00:00,5640.0,5498,5356.0
0,NSW1,2021-03-12 21:30:00,8109.0,7997,7885.0
390,QLD1,2021-03-12 21:30:00,7329.0,7224,7118.0
780,SA1,2021-03-12 21:30:00,1583.0,1520,1456.0
1170,TAS1,2021-03-12 21:30:00,1113.0,1096,1078.0
1560,VIC1,2021-03-12 21:30:00,5441.0,5304,5167.0
0,NSW1,2021-03-12 22:00:00,8027.0,7917,7806.0
389,QLD1,2021-03-12 22:00:00,7103.0,7000,6897.0
778,SA1,2021-03-12 22:00:00,1480.0,1421,1362.0
1167,TAS1,2021-03-12 22:00:00,1073.0,1057,1041.0
1556,VIC1,2021-03-12 22:00:00,5194.0,5063,4932.0
0,NSW1,2021-03-12 22:30:00,8001.0,7858,7715.0
388,QLD1,2021-03-12 22:30:00,6944.0,6843,6744.0
776,SA1,2021-03-12 22:30:00,1428.0,1371,1314.0
1164,TAS1,2021-03-12 22:30:00,1059.0,1044,1029.0
1552,VIC1,2021-03-12 22:30:00,5069.0,4941,4813.0
0,NSW1,2021-03-12 23:00:00,7886.0,7746,7605.0
387,QLD1,2021-03-12 23:00:00,6838.0,6739,6641.0
774,SA1,2021-03-12 23:00:00,1394.0,1338,1283.0
1161,TAS1,2021-03-12 23:00:00,1067.0,1052,1038.0
1548,VIC1,2021-03-12 23:00:00,4987.0,4862,4736.0
0,NSW1,2021-03-12 23:30:00,7733.0,7595,7457.0
386,QLD1,2021-03-12 23:30:00,6604.0,6510,6414.0
772,SA1,2021-03-12 23:30:00,1362.0,1308,1253.0
1158,TAS1,2021-03-12 23:30:00,1043.0,1030,1015.0
1544,VIC1,2021-03-12 23:30:00,5114.0,4985,4856.0
0,NSW1,2021-03-13 00:00:00,7589,7425,7262
386,QLD1,2021-03-13 00:00:00,6379,6279,6178
772,SA1,2021-03-13 00:00:00,1532,1464,1396
1158,TAS1,2021-03-13 00:00:00,1034,1020,1005
1544,VIC1,2021-03-13 00:00:00,5073,4922,4771